	Date	Account	Action	Security	Category	Memo	Quote/Price	Shares	Cash	Amount�Invested	Cash+Invest	
	1/13/2009	TSP	XIn	-Cash-	[Alliant CU Savings]				635.00		635.00	
	1/27/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	2/10/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	2/24/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	3/10/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	3/24/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	4/7/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	4/21/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	5/5/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	5/19/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	6/2/2009	TSP	XIn	-Cash-	[Checking - Alliant]				635.00		635.00	
	6/16/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			635.00		635.00	
	6/30/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			635.00		635.00	
	7/14/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			635.00		635.00	
	7/28/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	8/11/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	8/25/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	9/8/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	9/22/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	10/6/2009	TSP	XIn	-Cash-	[Checking - Alliant]				830.16		830.16	
	10/20/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	11/3/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	11/17/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	12/1/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			830.16		830.16	
	12/15/2009	TSP	XIn	-Cash-	[Checking - Alliant]				830.16		830.16	
	12/29/2009	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			820.16		820.16	
	1/12/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			804.55		804.55	
	1/26/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	2/9/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
	2/23/2010	TSP	XIn	-Cash-	[Checking - Alliant]	TD03 TREAS  312 : FED SALARY  ID: 3121036005CO: TD03 TREAS  312			838.04		838.04	
