Date,L Income,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,L 2070,L 2075,G Fund,F Fund,C Fund,S Fund,I Fund
"Dec 31, 2025",29.2433,58.0982,17.6793,67.7859,18.7561,41.5515,21.4292,21.4268,21.4243,12.6979,11.0917,19.5877,20.8818,109.5126,100.4077,55.4922
"Dec 30, 2025",29.2915,58.3044,17.7504,68.0830,18.8442,41.7591,21.5559,21.5535,21.5509,12.7730,11.1573,19.5855,20.9233,110.3158,101.3719,55.6367
"Dec 29, 2025",29.2976,58.3362,17.7616,68.1304,18.8584,41.7927,21.5766,21.5742,21.5717,12.7853,11.1680,19.5833,20.9314,110.4676,101.8399,55.5826
"Dec 26, 2025",29.3103,58.4169,17.7901,68.2514,18.8947,41.8796,21.6341,21.6317,21.6292,12.8193,11.1977,19.5765,20.9051,110.8513,102.4499,55.6020
"Dec 24, 2025",29.3051,58.4102,17.7883,68.2453,18.8932,41.8768,21.6336,21.6312,21.6286,12.8190,11.1975,19.5721,20.8974,110.8746,102.7114,55.5286
"Dec 23, 2025",29.2819,58.3256,17.7595,68.1259,18.8580,41.7947,21.5862,21.5837,21.5812,12.7909,11.1729,19.5699,20.8540,110.5183,102.5025,55.4861
"Dec 22, 2025",29.2473,58.1856,17.7117,67.9273,18.7994,41.6566,21.5002,21.4978,21.4953,12.7400,11.1284,19.5677,20.8545,110.0172,103.0919,55.1054
"Dec 19, 2025",29.1849,57.9404,17.6284,67.5821,18.6977,41.4175,21.3516,21.3492,21.3467,12.6519,11.0515,19.5609,20.8612,109.3081,101.9108,54.7690
"Dec 18, 2025",29.1206,57.6689,17.5357,67.1963,18.5837,41.1486,21.1817,21.1794,21.1769,12.5513,10.9636,19.5587,20.8948,108.3499,100.8623,54.4339
"Dec 17, 2025",29.0551,57.4048,17.4454,66.8205,18.4727,40.8876,21.0228,21.0205,21.0180,12.4571,10.8813,19.5565,20.8517,107.4959,100.1772,54.0314
"Dec 16, 2025",29.1283,57.7235,17.5550,67.2781,18.6083,41.2077,21.2227,21.2204,21.2179,12.5756,10.9848,19.5543,20.8538,108.7545,101.1387,54.3822
"Dec 15, 2025",29.1554,57.8534,17.5997,67.4655,18.6640,41.3398,21.3090,21.3066,21.3041,12.6266,11.0294,19.5520,20.8118,109.0104,101.4657,54.7660
"Dec 12, 2025",29.1503,57.8568,17.6016,67.4758,18.6675,41.3492,21.3175,21.3151,21.3125,12.6316,11.0338,19.5453,20.7917,109.1659,102.3503,54.5413
"Dec 11, 2025",29.2297,58.1924,17.7171,67.9581,18.8103,41.6858,21.5233,21.5209,21.5183,12.7536,11.1404,19.5431,20.8509,110.3361,104.0391,54.8576
"Dec 10, 2025",29.1942,58.0490,17.6682,67.7547,18.7503,41.5445,21.4356,21.4332,21.4306,12.7017,11.0950,19.5409,20.8489,110.1063,103.1255,54.5629
"Dec 9, 2025",29.1230,57.7632,17.5704,67.3476,18.6300,41.2618,21.2644,21.2619,21.2594,12.6002,11.0063,19.5387,20.7890,109.3647,101.7459,54.1254
"Dec 8, 2025",29.1284,57.7904,17.5800,67.3883,18.6422,41.2906,21.2813,21.2789,21.2764,12.6102,11.0151,19.5365,20.8049,109.4602,101.8260,54.1637
"Dec 5, 2025",29.1434,57.8709,17.6084,67.5088,18.6782,41.3762,21.3334,21.3310,21.3285,12.6411,11.0421,19.5298,20.8329,109.8325,101.9877,54.2397
"Dec 4, 2025",29.1354,57.8389,17.5977,67.4647,18.6653,41.3455,21.3121,21.3097,21.3072,12.6285,11.0311,19.5276,20.8638,109.6036,102.0595,54.2359
"Dec 3, 2025",29.1136,57.7465,17.5663,67.3344,18.6268,41.2546,21.2526,21.2502,21.2478,12.5933,11.0003,19.5253,20.9030,109.4778,101.5497,53.9920
"Dec 2, 2025",29.0693,57.5702,17.5061,67.0841,18.5530,41.0811,21.1471,21.1447,21.1423,12.5308,10.9457,19.5231,20.8743,109.1502,100.1607,53.7353
"Dec 1, 2025",29.0485,57.4928,17.4798,66.9752,18.5209,41.0060,21.1025,21.1001,21.0976,12.5043,10.9226,19.5209,20.8509,108.8795,100.1642,53.6065
"Nov 28, 2025",29.0950,57.6831,17.5454,67.2489,18.6019,41.1963,21.2144,21.2121,21.2097,12.5708,10.9806,19.5187,20.9363,109.4490,100.9421,53.8534
"Nov 26, 2025",29.0446,57.4939,17.4816,66.9857,18.5247,41.0149,21.1010,21.0987,21.0963,12.5036,10.9219,19.5098,20.9594,108.8622,100.1863,53.6008
"Nov 25, 2025",28.9704,57.1909,17.3782,66.5555,18.3977,40.7163,20.9174,20.9152,20.9128,12.3948,10.8269,19.5076,20.9387,108.1137,99.4680,52.9470
"Nov 24, 2025",28.8830,56.8377,17.2576,66.0545,18.2499,40.3691,20.7062,20.7039,20.7015,12.2696,10.7175,19.5054,20.8919,107.1361,97.5486,52.4996
"Nov 21, 2025",28.7804,56.4344,17.1205,65.4862,18.0826,39.9766,20.4672,20.4649,20.4625,12.1279,10.5938,19.4987,20.8534,105.5027,95.9220,52.2729
